[CONFIG] ID=02dda9330abb4fea82cb7b1cdbd66cc8 config={'num_layers': 20, 'eval_batch_size': 500, 'sync': False, 'num_inter_threads': 0, 'data_format': None, 'train_batch_size': 32, 'momentum': 0.48030000000000006, 'weight_decay': 0.00011860000000000001, 'batch_norm_decay': 0.8829830000000001, 'batch_norm_epsilon': 0.0007228, 'learning_rate': 0.0402, 'optimizer': 'momentum'}
[CONFIG] ID=df151322d62e494fa6824553c7d66c04 config={'num_layers': 20, 'eval_batch_size': 500, 'sync': False, 'num_inter_threads': 0, 'data_format': None, 'train_batch_size': 128, 'momentum': 0.47700000000000004, 'weight_decay': 0.00018, 'batch_norm_decay': 0.805373, 'batch_norm_epsilon': 0.0006733, 'learning_rate': 0.0658, 'optimizer': 'adam'}
[CONFIG] ID=ffd058627caa44d3abdfba4fd366e766 config={'num_layers': 20, 'eval_batch_size': 500, 'sync': False, 'num_inter_threads': 0, 'data_format': None, 'train_batch_size': 256, 'momentum': 0.6827000000000001, 'weight_decay': 0.0001586, 'batch_norm_decay': 0.8823860000000001, 'batch_norm_epsilon': 5.8509999999999994e-05, 'learning_rate': 0.07629999999999999, 'optimizer': 'rmsprop'}
[RESULT] ID=df151322d62e494fa6824553c7d66c04 iter=4 result={'accuracy': 0.2764, 'loss': 3.721257, 'global_step': 1755}
[RESULT] ID=02dda9330abb4fea82cb7b1cdbd66cc8 iter=4 result={'accuracy': 0.7722, 'loss': 0.7779892, 'global_step': 7030}
[RESULT] ID=42a9d8c353214587a12cdf53d9fa4a9c iter=5 result={'accuracy': 0.6127, 'loss': 1.2229133, 'global_step': 522}
[RESULT] ID=b0759547ee8246a1a220b56d216750b6 iter=4 result={'accuracy': 0.7175, 'loss': 0.9737774, 'global_step': 7030}
[RESULT] ID=870bb95b074a4a60b222ffcf4b2f3082 iter=5 result={'accuracy': 0.7142, 'loss': 0.9786998, 'global_step': 1050}
[RESULT] ID=ffd058627caa44d3abdfba4fd366e766 iter=5 result={'accuracy': 0.3233, 'loss': 2.124983, 'global_step': 1050}
[RESULT] ID=df151322d62e494fa6824553c7d66c04 iter=5 result={'accuracy': 0.4343, 'loss': 1.9242105, 'global_step': 2106}
[RESULT] ID=42a9d8c353214587a12cdf53d9fa4a9c iter=6 result={'accuracy': 0.6627, 'loss': 1.0557202, 'global_step': 609}
[RESULT] ID=02dda9330abb4fea82cb7b1cdbd66cc8 iter=5 result={'accuracy': 0.7504, 'loss': 0.83678615, 'global_step': 8436}
[RESULT] ID=b0759547ee8246a1a220b56d216750b6 iter=5 result={'accuracy': 0.7634, 'loss': 0.90907717, 'global_step': 8436}
