[ TIME ] start=2019-11-01 09:02:54.223138
[CONFIG] ID=68d3a1ee00d242ff89c9bba2658e5fd0 config={'num_layers': 20, 'eval_batch_size': 500, 'sync': False, 'num_inter_threads': 0, 'data_format': None, 'train_batch_size': 256, 'momentum': 0.77675, 'weight_decay': 0.0001878, 'batch_norm_decay': 0.8686550000000001, 'batch_norm_epsilon': 0.00040204000000000005, 'learning_rate': 0.05190000000000001, 'optimizer': 'adam'}
[RESULT] ID=a2d5dc11909c4ff2a3c7b06bbad33eb7 iter=4 result={'accuracy': 0.3647, 'loss': 1.9177557, 'global_step': 215}
[RESULT] ID=47b391a492be4bdab71d814e31618b12 iter=4 result={'accuracy': 0.3472, 'loss': 1.9102582, 'global_step': 7030}
[RESULT] ID=01ebf3f3679c488bb5d074d24d8ad123 iter=4 result={'accuracy': 0.4829, 'loss': 1.5273457, 'global_step': 7030}
[RESULT] ID=8cb059c31ba741f496552771533a5711 iter=5 result={'accuracy': 0.5863, 'loss': 1.3230164, 'global_step': 522}
[RESULT] ID=68d3a1ee00d242ff89c9bba2658e5fd0 iter=5 result={'accuracy': 0.4883, 'loss': 1.9024872, 'global_step': 1050}
[RESULT] ID=cb22875e4ff245dfada45d71dff559a0 iter=5 result={'accuracy': 0.5828, 'loss': 1.3319491, 'global_step': 522}
[RESULT] ID=a2d5dc11909c4ff2a3c7b06bbad33eb7 iter=5 result={'accuracy': 0.3959, 'loss': 1.8350289, 'global_step': 258}
[RESULT] ID=8cb059c31ba741f496552771533a5711 iter=6 result={'accuracy': 0.6038, 'loss': 1.2121952, 'global_step': 609}
[RESULT] ID=47b391a492be4bdab71d814e31618b12 iter=5 result={'accuracy': 0.3751, 'loss': 1.8380932, 'global_step': 8436}
[RESULT] ID=cb22875e4ff245dfada45d71dff559a0 iter=6 result={'accuracy': 0.6657, 'loss': 1.063659, 'global_step': 609}
[RESULT] ID=01ebf3f3679c488bb5d074d24d8ad123 iter=5 result={'accuracy': 0.506, 'loss': 1.4746935, 'global_step': 8436}
[RESULT] ID=68d3a1ee00d242ff89c9bba2658e5fd0 iter=6 result={'accuracy': 0.4749, 'loss': 2.016857, 'global_step': 1225}
[RESULT] ID=a2d5dc11909c4ff2a3c7b06bbad33eb7 iter=6 result={'accuracy': 0.5245, 'loss': 1.466973, 'global_step': 301}
[RESULT] ID=8cb059c31ba741f496552771533a5711 iter=7 result={'accuracy': 0.6574, 'loss': 1.0324141, 'global_step': 696}
[RESULT] ID=cb22875e4ff245dfada45d71dff559a0 iter=7 result={'accuracy': 0.3846, 'loss': 2.234183, 'global_step': 696}
[RESULT] ID=68d3a1ee00d242ff89c9bba2658e5fd0 iter=7 result={'accuracy': 0.4133, 'loss': 2.3054748, 'global_step': 1400}
[RESULT] ID=a2d5dc11909c4ff2a3c7b06bbad33eb7 iter=7 result={'accuracy': 0.4893, 'loss': 1.6988463, 'global_step': 344}
[RESULT] ID=47b391a492be4bdab71d814e31618b12 iter=6 result={'accuracy': 0.4132, 'loss': 1.7376167, 'global_step': 9842}
[RESULT] ID=01ebf3f3679c488bb5d074d24d8ad123 iter=6 result={'accuracy': 0.5194, 'loss': 1.4489679, 'global_step': 9842}
[RESULT] ID=8cb059c31ba741f496552771533a5711 iter=8 result={'accuracy': 0.6463, 'loss': 1.0792865, 'global_step': 783}
[RESULT] ID=cb22875e4ff245dfada45d71dff559a0 iter=8 result={'accuracy': 0.707, 'loss': 0.9294097, 'global_step': 783}
[RESULT] ID=68d3a1ee00d242ff89c9bba2658e5fd0 iter=8 result={'accuracy': 0.4794, 'loss': 2.0950859, 'global_step': 1575}
